,lead_paragraph,headline,uplifting
483,"BLICKSILVER--Jack. Beloved husband of late Beverly Wolk Blicksilver and father of late Audrey W. Kaplan. Survived by sons Owen and Mace Blicksilver and Mark Wolk. Devoted grandfather of Zoe, Zachary, David and Brian. Donations: David Nash Blicksilver Fund for Pediatric Orthopedic Care c/o Dr. Daniel Green, The Hospital for Special Surgery, 535 East 70 St., New York City, 10021.","Paid Notice: Deaths  BLICKSILVER, JACK",0
484,"ISAACSON--Betty, (95). December 30, New Jersey. Predeceased by her husband Oscar, her son Louis and his wife Evelyn. Her love will be remembered by her daughter Anita (Carl) Jacobs; grandchildren Elie and Avi Jacobs and Debra Isaacson.","Paid Notice: Deaths  ISAACSON, BETTY",0
487,"GLASS--Antonina S.,99, widow of George B. Jerzy Glass, MD, died peacefully at home surrounded by family on December 31, 2009, after a brief, final illness. A survivor of World War II, she, along with her husband and young son, came to New York in 1945 to start a new life and lived there to the present. She is survived by her son, Andrew Glass, MD, of Portland, OR; by her daughter, Janet Alteveer, MD, of Moorestown, NJ; son-in-law Robert and daughter-in-law Nancy; nine grandchildren, seven great-grandchildren, and family around the world. She received Poland's Knight's Cross in 1996 for her extensive chartable work for blind children. Friends may call at Frank E. Campbell, Madison Avenue and 81st Street, on Monday, 7-9pm. Service on Tuesday at 11:30am. In lieu of flowers, contributions to Doctors Without Borders would be appreciated.","Paid Notice: Deaths  GLASS, ANTONINA S.",0
488,"ZEINA is a restaurant for these times. Ingredients are fresh. Meals are cheap, comforting and nutritious. The food is delicious. All that is to be expected from a place whose name means ''best of everything.'' Mike Chaghlil, the ever-present manager and co-owner with Chantal Popescu, bases his standards on those he learned from his mother during his childhood in Lebanon and Syria. (Zeina is also the name of one of his daughters.) Mr. Chaghlil goes to the market every day for vegetables, breads, seafood and halal meats. Several of his recipes are his mother's; others pay homage to the restaurant that previously occupied the site, Seven Hills of Istanbul, with which Mr. Chaghlil was not involved. Zeina opened in June.",Blending Mideastern And Mediterranean,0
489,"The owner of two research hospitals affiliated with the Harvard Medical School has imposed restrictions on outside pay for two dozen senior officials who also sit on the boards of pharmaceutical or biotechnology companies. The limits come in the wake of growing criticism of the ties between industry and academia. Medical experts say they believe the conflict-of-interest rules at the institution, Partners HealthCare, go further than those of any other academic medical center in restricting outside pay from drug companies. The rules, which became effective on Friday, impose limits specifically on outside directors who guide some of the nation's biggest companies.",Hospitals Connected to Harvard Cap Outside Pay to Top Officials,0
490,"FOR a regional competition last spring, eight students from California State Polytechnic University, Pomona, spent six months of Saturdays practicing how to defend a typical business computer network from attacks. Then, over two grueling days, they outscored teams from five other schools at blocking worms and other efforts to disrupt their e-mail and Internet systems. For the six seniors in the group, all in computer information systems, the victory was even sweeter. Boeing, the giant aerospace and military company, offered them jobs.",Wanted: 'Cyber Ninjas',0
493,"Al Qaeda in the Arabian Peninsula has rapidly evolved into an expanding and ambitious regional terrorist network thanks in part to a weakened, impoverished and distracted Yemeni government. While Yemen has chased two homegrown rebellions, over the last year the Qaeda cell here has begun sharing resources across borders and has been spurred on to more ambitious attacks by a leadership strengthened by released Qaeda detainees and returning fighters from Iraq.",Yemen's Chaos Aids Evolution Of Qaeda Cell,0
494,"<!-- INGRID  BURNS -->BURNS--Ingrid Lilly. The Board of Trustees, alumni, residents and staff of International House note with sorrow the passing of our alumna Ingrid Burns '36, beloved sister of the late L.W. ""Bill"" Frohlich and a longtime director of the charitable trust that bears his name. Our deepest sympathy goes to her daughters, our Trustee Kathleen Burns and Madeleine Burns, and their families. Paul A. Volcker, Chairman Donald L. Cuneo, President<br><br>
 ","Paid Notice: Deaths  BURNS, INGRID ",0
495,"<!-- HELENE  HARTMAN -->HARTMAN--Helene, affectionately known to friends and family as Chickie, lost her courageous battle with cancer on Sunday, December 27, 2009. She died peacefully at her home surrounded by her family. A graduate of Woodmere Academy and Bennington College, she also received an MA in Education. She is survived by her loving husband and partner of over 53 years Bill Hartman, her adoring children Peter Hartman, Valerie Hartman Levy, Jeannine Bartow Hartman and Jeff Levy, her four grandchildren, Haley Hartman, Charlie, Eli and Cate Levy and her brother, Robert Friedman. A memorial service and celebration of her life will be held at Frank E. Campbell, 1076 Madison Avenue on Sunday, January 10th at 1:30pm. In lieu of flowers, the family has requested that donations be made in Chickie's name to The American Cancer Society or Calvery Hospital Hospice.<br><br>
 ","Paid Notice: Deaths  HARTMAN, HELENE ",0
496,"<!-- DUANE W RAGSDALE -->RAGSDALE--Duane William. Celebration of life at the Frank E. Campbell Funeral Chapel, 1076 Madison Ave. at 81st St. on Saturday, January 9 at 12 noon.<br><br>
 ","Paid Notice: Deaths  RAGSDALE, DUANE W.",0
498,"The Vikings rolled up 487 yards of offense in routing the Giants, 44-7.",Jan. 3: Vikings Beat Giants ,0
499,"The writer, though he has a family plot at St. Raymond’s Cemetery, decides to shop around.",Scouting the Perfect Resting Spot ,0
500,"SOME things never change. For example, children still collect soda cans and box tops to buy classroom equipment. But much in K-12 public education is being turned on its head, especially in urban districts where fixing failing schools has become a national focus. This means new education leadership jobs: running charter schools, directing turnarounds of troubled schools and founding nonprofits with creative answers to education challenges.",Skills to Fix Failing Schools,0
501,"IT'S a curious habit of our culture: once anything attains widespread popularity, there comes an inevitable backlash of criticism and negativity. Sometimes the hate brigade has a valid argument, but often the consensus opinion seems to do a 180 for no discernible reason. Which brings me to the Chevrolet Camaro.",In Defense of the New Camaro,0
502,"Bakhtiar Ludin looks like a rogue, with a roughly tied checkered scarf for a turban, a Kalashnikov and a band of similarly tough, armed men for company. But much of the hopes of Afghan and American officials to turn around the eight-year war here rests with him and those like him.",Afghans Start Answering Call to Fight the Taliban,0
503,"HOLIDAY AIR TRAVEL To the Editor: Regarding the Practical Traveler column ''The Flight Before Christmas'' (Dec. 20): All this, I say, and for what? Wouldn't May 20 do just as well for a visit? Christmas, Schmistmas.",Letters: The Flight Before Christmas,0
504,"THIS is my final annual meeting as chairman,'' says Sandy Weill, standing near the window of his office, peering at a grainy photograph of him and his wife on stage at Carnegie Hall more than three years ago. They are smiling broadly, and behind them is a packed house of cheering Citigroup shareholders. A huge banner dangling from the balcony reads ''Thank You Sandy.'' On that day, April 18, 2006, Citi's share price was $48.48. After studying the photo for a few moments, Mr. Weill says quietly, ''I thought the company was impregnable.''","Citi's Creator, Alone With His Regrets",0
505,"What I'll remember about this decade in baseball is the continued evolution of the game away from much of what I think are (were) baseball's most endearing qualities. Commercialization by Major League Baseball begets bigger contracts, which begets steroid use. Mr. Wooly",Debating What Defined the Decade: Baseball,0
507,"FOR two years motorists on Route 25A in Huntington could see the transformation of the former Empire Szechuan into the dazzling Dao, which opened in August. The lavishly decorated exterior has Japanese gardens with rocks, waterfalls, bonsai and fish ponds. The interior is equally elaborate. Diners first see a marble-topped, backlighted bar in a lounge area with circular leather booths and a baby grand player piano (which can be heard throughout the restaurant). Overhead is a glittery gold ceiling made of glass and stone tiles. The rest of the restaurant features four massive crystal chandeliers, marble columns, a tropical fish tank and pale marble floors.","Amid Dazzling Décor, Some Hits and Misses",0
508,"Liverpool's season suffered another stutter as it was held to a 1-1 draw at Reading in the third round of the F.A. Cup on Saturday. Liverpool fell behind in the 24th minute when Simon Church scored from barely a yard out on a cross from Grzegorz Rasiak. In other games, Portsmouth, the 2008 F.A. Cup winner, had to rally to salvage a 1-1 draw at home to Coventry City. And Bolton, which is under threat of relegation, endured a goalless first half before beating Lincoln, 90th out of England's 92 league clubs, 4-0.",Liverpool Struggles at Reading,0
509,"JAZZ is metal. Well, of course it isn't, really. They don't sound alike on their outer layers. And their audiences don't overlap. From the evidence of hundreds of jazz shows I've seen all over the country this past decade, a whole lot of Americans over 60 feel a tremendous fondness for jazz and help it survive. Most of those same people, I'd guess, would feel a virulent loathing for metal, if they ever were forced to encounter it.","Jazz and Metal, Riffs in Arms",0
517,"Looking back at the N.H.L. from the vantage point of the first weekend of 2010, one precedent-smashing event defined the just-concluded decade and will continue to have ramifications for the decade that has just begun: the lockout that led to the cancellation of the 2004-5 season. Never before had an entire North American professional sports season been lost because of a labor dispute. It was not merely the pivotal event of the decade for the N.H.L.; it was perhaps the pivotal event in the modern history of pro hockey.",A Labor Dispute Still Shapes the N.H.L.,0
518,"DAWSON--Rita, passed away November 22 at the age of 89. Graduate of Hunter College. Ziegfeld Girl, a Trouper and a retired Teacher will be missed by her family.","Paid Notice: Deaths  DAWSON, RITA",0
519,"KRIEGSMAN--Elliot, 61, of New York, on December 19, 2009, as the result of a cerebral aneurysm. Journalist and Haiti scholar. Son of the late Iris and Leo Kriegsman; father of Emery and Cody; brother of Michael and Judith, Barbara and Clyde; uncle of Mark, Gina, Ali and Ben; great-uncle of Max and Hannah. A truly hilarious, gifted and generous man--our El, our Dat-one, our Alien. Memorial services to be held at 11156 Cashmere St., Los Angeles, on January 3 and 4, 2010, and in New Jersey the following week.","Paid Notice: Deaths  KRIEGSMAN, ELLIOT",0
522,"KORWIN--Joan, after a long illness passed away peacefully on December 28, 2009. Beloved wife of the late Michael Korwin. Loving mother of Stacy Marquit and her husband Richard. Cherished grandmother of Amanda and Adam. You will be with us always in our hearts. Services were private.","Paid Notice: Deaths  KORWIN, JOAN",0
524,"THE NEWS The Iranian government arrested hundreds of protesters, staged pro-government rallies and lashed out at the West in response to widespread public outrage at a violent police crackdown that left at least 10 dead and hundreds wounded. BEHIND THE NEWS Tehran's use of deadly force on Ashura, the holiest day for Shiites, broke a taboo honored even in wartime, and seemed to galvanize Iranians who had not joined earlier protests. The vitriol of crowd chants on each side showed a deepening schism within Iranian society since June's disputed presidential election.",SHAKY GROUND | DEC.27 - JAN.2,0
525,"BURNS--Ingrid Lilly. The Board of Trustees, alumni, residents and staff of International House note with sorrow the passing of our alumna Ingrid Burns '36, beloved sister of the late L.W. ""Bill"" Frohlich and a longtime director of the charitable trust that bears his name. Our deepest sympathy goes to her daughters, our Trustee Kathleen Burns and Madeleine Burns, and their families. Paul A. Volcker, Chairman Donald L. Cuneo, President","Paid Notice: Deaths  BURNS, INGRID LILLY",0
526,"<!-- GUS  ANDROS -->ANDROS--Gus Dick, on December 31, 2009. Born March 4, 1926 Oklahoma City. Dancer, Choreographer, teacher for over 60 years. Started dancing after discharge from army in WWII. 1948 joined San Francisco Ballet. Teachings: Theatre Arts Center, Ballet Master Bat Dor Dance Company Of Israel, Harkness Dance Center, High School Of The Performing Arts, New York School Of Ballet, Usdan Center For The Performing Arts, Steps, 92nd Street Y, Ballet Academy East. For 20 years Dick wrote dance history for Dance Pages and Dance And The Arts plus The Dick Andros Newsletter. For website please Goggle Gus Dick Andros to read his extraordinary career plus histories on dance. He leaves behind nieces, nephews, cousins and a multitude of adoring students and friends. Dick, you will always remain in all our hearts and minds. Peace. Memorial and boat service-later in 2010.<br><br>
 ","Paid Notice: Deaths  ANDROS, GUS ",0
527,Laini Fondiller and her Alpine goats at Lazy Lady Farm in Vermont.,The Kids Stay in the Picture Field Report,0
529,"PACKAGING art by the decade isn't realistic; art doesn't come in squared-off units. But we seem to need handles on history, so that's what we do. And here we are once again, in 2010, trying to make a chronological chunk of art -- 2000s art, or new millennium art, or art of the aughts -- make sense. Whatever you call the art of the last decade, there was a ton of it. Has the world ever turned out more, in more varieties, than in the last 10 years? I doubt it. The 2000s really started in the late 1990s. In the early years of that decade the American economy was in woeful shape, the art market a shambles. AIDS and the culture wars raged. At the same time multiculturalism and a budding globalism were opening doors. Not only were we seeing African-American, Latino and Asian-American artists stepping onto the stage in New York in unprecedented numbers, but we were getting news from art centers in Africa, Latin America and Asia.",Depending On the Culture Of Strangers,0
530,"Devil No. 1 Gets a Makeover in China China is rehabilitating Chiang Kai-shek, the rival toMao Zedong long portrayed as devil No. 1 in Chinese Communist Party propaganda, writes Cristian Segura in The Asia Times. That's because Beijing now sees the pro-unity Kuomintang party of Taiwan, which Chiang once led, as an ally in the fight against Taiwanese pro-independence forces:",Devil No. 1 Gets a Makeover in China,0
531,PSYCHO TOO By Will Self,The World Made Flesh,0
532,"THE BASICS What if a hotel did away with every standard-but-sometimes-pointless feature -- parking, help with bags, reception, concierge -- and just offered stylish, well-located rooms? Welcome to the Inn @ St. Botolph, Boston's radical experiment in reimagining the hotel. A series of handsome suites on a leafy Back Bay street, St. Botolph even eliminates keys: guests punch access codes into keypads instead.",Boston: The Inn @ St. Botolph,0
533,"FLUG--Alfred, 94, died at his home in Palm Beach, FL, on December 30, 2009. Dad, you died exactly the way you lived your life, on your own terms. You've been there for us in your inimitable way since we were born and never asked for anything in return, I could go on, but I think Sinatra said it best, You loved, you laughed and cried, you had your fill, your share of losing and now, as tears subside you'd find it all so amusing to think you did all that and may I say, not in a shy way, oh, no, oh, no, not you, you did it your way. I love you dad, Robert. Also survived by his daughter Carol, daughter-in-law Ellen, grandchildren Danielle, Racquel (Jim) and Owen, great-grandchildren Juliette, Jasper, and Alexander, and companion Elena.","Paid Notice: Deaths  FLUG, ALFRED",0
534,"GENERAL MOTORS is offering its dealers a special incentive for the next week or so, intended to help get rid of inventories of leftover Pontiac and Saturn models. G.M. is giving dealers $7,000 for every vehicle from either discontinued brand that they move into their rental or service fleets. The vehicles could then be sold to consumers.",A G.M. Incentive With a Catch,0
536,Club before country. My favorite memory of the past decade was Arsenal going undefeated for the entire 2003-4 season. Josh B Washington,Debating What Defined the Decade: Soccer,0
537,"HEILIGMAN--Richard I.,81, passed away December 25 in Sarasota, FL after a long illness. He managed the Syracuse University endowment fund from 1973 to 1989. He is survived by daughters Audrey Heiligman, Margot Heiligman Williams and grandson Elias Rex Williams. Contributions: Inclusion Body Myositis Assn. Suite 402, 1233 20th St. NW, Washington, DC 20036.","Paid Notice: Deaths  HEILIGMAN, RICHARD I.",0
539,"JOYCE--Mary Patricia (Pat) Hamill, of Ann Arbor, Michigan, formerly of Morris Plains, New Jersey, died peacefully at home on December 30, 2009 after a long illness. Beloved wife of Frank Joyce, devoted mother of Tara Joyce of Oak Park, Illinois; Frank Joyce, Jr. (Katy Van Dusen) of Monteverde, Costa Rica; Patricia Joyce (Steven J. Slack) of Ann Arbor, Michigan; and grandchildren Helen, Francis, Richard, Connor, and Devin. Pat will be greatly missed by family and friends. Born in New York in 1931, Pat was a graduate of Mt. St. Ursula Academy and graduated at age 19 from the College of New Rochelle. A memorial Mass will be held at Saint Mary's Abbey in Morristown, New Jersey at a later date. In lieu of flowers, the family asks that donations be made to the Alzheimer's Association, Saint Joseph Mercy Hospice in Ann Arbor, or The Seeing Eye in Morristown, New Jersey.","Paid Notice: Deaths  JOYCE, MARY PATRICIA (PAT) HAMILL",0
540,"Therese Bari Kolata, the daughter of Gina Kolata and William G. Kolata of Princeton, N.J., was married Tuesday to Nathan Allison Jr., a son of Yvonne Allison and Mr. Allison Sr. of Burlington, N.J. The Rev. Ellis Holdren, an Episcopal deacon, officiated at the Vitruvian Mansion in Las Vegas. The couple graduated from the University of Pennsylvania, where they met.","Therese Kolata, Nathan Allison Jr.",0
541,"LEVINE--David. He has given us everything we need. A way to start a painting, a way to lose a painting in order to rediscover it, an approach to painting that allows us to live without ego, an example of how a true artist lives a life in art, a way of making art social, a way of finding your subject. We will miss his rich instruction to enjoy the medium, but we will always have his voice saying, ""Play, have fun."" The Painting Group","Paid Notice: Deaths  LEVINE, DAVID",0
543,"IN 1986, fresh out of Columbia University's M.F.A. film program, Josh Goldin moved from his native New York City to Los Angeles, a young screenwriter on the make. Universal had bought a script he'd written with his brother and frequent collaborator, Daniel -- an offbeat comedy called ''Welcome to Buzzsaw'' -- and as it inched towards production, the pair landed a gig on the 1990 action film ''Darkman,'' an early hit for the director Sam Raimi. In 1992 ''Welcome to Buzzsaw'' arrived in theaters, renamed ''Out on a Limb'' and starring Matthew Broderick. ''I was incredibly lucky,'' Josh Goldin said on a recent afternoon, sitting in a downtown Manhattan hotel lounge. And then, for the next 17 years, Mr. Goldin became a ghost. He worked on projects that either never came out or made it to theaters without his name on them. ''I wrote scripts that never went anywhere,'' he said, ''and I did rewrites for projects that looked like they might go somewhere and then didn't.'' He had discovered the depressingly common side of the Hollywood life. ''It's a huge part of the industry, writers who have been working for 10, 15 years who've never gotten a movie made.''",A Long Journey From Obscurity,0
545,To the Editor: Re ''All That Fosse: All Those Echoes of 'All That Jazz' ' by Matt Zoller Seitz [Dec. 27]:,All That Jazz': Other Accolades,0
546,"LAURA GABRIEL looked both perplexed and amused as she strolled last week through the exhibition ''Low Tech ... and That's the Way It Was,'' organized by the Northport Historical Society. For Ms. Gabriel, a 24-year-old Manhattan resident, this was a strange world where tweeting was done by birds and people had photo albums, not Facebook. Asked if she would have been content in such an era, she raised her eyebrows in a you-can't-be-serious look.","Conveniences, Once Upon a Time",0
549,"<!-- MYRILLYN  ZWEIG -->ZWEIG--Myrillyn March, 86, died 20 December in New York City. Your outer beauty was surpassed only by your inner beauty. You were kind and gentle, wise and compassionate--a stand-up person. You were the best mom, and I miss you terribly. Your loving son, Phillip. Donations may be made to Mary Manning Walsh Home or Meals on Wheels.<br><br>
 ","Paid Notice: Deaths  ZWEIG, MYRILLYN ",0
555,"<!-- HERBERT  SPIEGEL -->SPIEGEL--Herbert MD, (June 29, 1914 - December 15, 2009) internationally renowned psychiatrist practicing in New York City, Battalion Surgeon, North Africa, WWII, awarded Purple Heart, teacher of Military Psychiatry, Professor and Special Lecturer at Psychiatric Institute, Columbia University Medical Center and named A Living Treasure for his pioneer work as a clinician, teacher, author and researcher in hypnosis and brief psychotherapy. He is survived by his wife and colleague, Dr. Marcia Greenleaf, his son Dr. David Spiegel, his daughter Dr. Ann Spiegel, their spouses, four grandchildren and extended family. His profound contributions to Psychotherapy will live on through those he taught and those whose lives he touched so deeply.<br><br>
 ","Paid Notice: Deaths  SPIEGEL, HERBERT ",0
556,"<!-- JAMES G DUNAIF -->DUNAIF--James G., died suddenly on December 25, 2009. Born November 10, 1926 in New York City. At the age of 17 he enlisted in the US Merchant Marines and served through the duration of WWII in the North Atlantic. Following his discharge, he worked as a ship sales broker and went on to form his own firm, Cargo Ships and Tankers, Inc., where he owned and operated a fleet of Liberty and Victory ships. Predeceased by parents Charles and Edith, and daughter Audrey. Survived by children Steven (Shari) and Geraldine (Scott) Bethune, grandchildren Jon (Christyn) Bethune, Amy Bethune and Charles C. Dunaif, great-grandson Jackson Bethune. He was loved and will be missed.<br><br>
 ","Paid Notice: Deaths  DUNAIF, JAMES G.",0
557,"<!-- ALFRED  FLUG -->FLUG--Alfred. We enjoyed life with you for over 40 years. Your hand shake and your word was always your bond. You were a good friend to us and we will miss you. Condolences to Robert, Carol and the entire family. Love, Irv and Rae Russo and Family<br><br>
 ","Paid Notice: Deaths  FLUG, ALFRED ",0
558,"<!-- JOAN  KORWIN -->KORWIN--Joan, after a long illness passed away peacefully on December 28, 2009. Beloved wife of the late Michael Korwin. Loving mother of Stacy Marquit and her husband Richard. Cherished grandmother of Amanda and Adam. You will be with us always in our hearts. Services were private.<br><br>
 ","Paid Notice: Deaths  KORWIN, JOAN ",0
559,"KAUFMAN--Joseph L. Our friend and partner whose memory and contribution to our firm, The American Stock Exchange, and the securities industry will live on. All of us were proud to have worked with a special human being who lived by the motto of ""your word is your bond."" He represented the purest form of integrity and honesty. The customer was always treated fairly and with respect. He will be missed. Cohn, Delaire and Kaufman","Paid Notice: Deaths  KAUFMAN, JOSEPH L",0
560,"TRAINS that float on air may be the most famous objects borne by magnetic fields. But magnetic forces can also support other, less visible objects: the spinning shafts, for example, hidden at the mechanical core of industrial equipment like pumps, generators, motors and compressors.",Bearings That Pack a Punch (and Their Own Controls),0
561,"GOLDSTEIN--Lawrence. We mourn the loss of our beloved husband, father, grandfather and friend. He will be missed by his wife Lynne, daughters Amy and Michelle, sons-in-law Steven and Brian, brother-in-law James, and grandchildren Rachel, Allison, Sam and Miles. Services will be held at noon on Monday at Riverside Memorial Chapel, Mount Vernon, NY. In lieu of flowers, please send donations to Memorial Sloan-Kettering, PO Box #","Paid Notice: Deaths  GOLDSTEIN, LAWRENCE",0
562,"WHAT if you ordered a memorial to your son, but it wound up with a haberdasher's name? That's what happened to the developer Abraham Lefcourt, who began the Alan E. Lefcourt Building at Broadway and 49th Street in 1930, a month after his teenage son's death. Just above the door of the Art Deco structure is a bronze bust of the younger Lefcourt, although not a trace of the Lefcourt name remains. But 1619 Broadway is still world famous -- as the Brill Building, a center of the music industry. Abraham Lefcourt began as a shoeshine boy, but by the 1920s was a prominent developer, with millions of dollars in completed construction, much of it in the garment center. He had two children, Mildred and Alan, and was particularly devoted to the boy.",Built With a Broken Heart,0
563,"Two well-respected slugging outfielders from the 1980s are once more on the Hall of Fame ballot. One has inched ever closer to the required 75 percent approval from voters and is probably eagerly awaiting the announcement of the new class Wednesday. The other is close to being bumped off the ballot for too little support. Andre Dawson, who starred for the Montreal Expos and the Chicago Cubs, hit 438 home runs, winning the 1977 Rookie of the Year award and the 1987 Most Valuable Player award over his 21-season career. He was an eight-time Gold Glover with a golden arm to match. In his first year on the ballot, in 2002, he received 45.3 percent of the votes but he climbed to 67.3 percent last year. Dale Murphy, the longtime Atlanta Braves star, managed only 19.3 percent of the votes in his first year (1999) and declined to 11.5 percent in 2009. Murphy had 1,700 fewer plate appearances than Dawson because of injuries, but he hit 398 home runs, won Most Valuable Player awards in 1982 and 1983, and was awarded five Gold Gloves in center over 18 seasons. He is typically considered a ''close but no'' guy, his brief stretch of greatness from 1982 to '87 followed by a sharp decline. He had four good years before his peak, but he averaged just .238 and 22 home runs in his last four full seasons. By contrast, Dawson drove in 92 runs in 1979 and was still driving in 90 in 1992.","Twice An M.V.P., But Never A Shoo-In",0
564,"To the Editor: Re ''After Eight Years, Terrorists Still Fly,'' by Clark Kent Ervin (Op-Ed, Dec. 29), and ''The System Failed'' (editorial, Dec. 30):",Security and Civil Liberties in the Age of Terrorism,0
568,"Large-scale consumer tastings of wines from all New York wine regions are rare. So when the City Winery, a winery-restaurant-entertainment space in downtown Manhattan, sponsored a four-hour showcase last month, about 375 people spent $45 each to sample the output. I confined myself to Long Island's 19-producer delegation.",Standouts at a Showcase,0
570,"Champions of the market can turn up in the oddest places. At the same time that bankers and businessmen are acknowledging the downsides of unregulated capitalism, college and university reformers are urging the academy to more closely embrace the marketplace. Amid the raft of new books on the failings of higher education, some challenge the longtime separation between ivy-covered idealists and real-world demands. Scholarly disdain for getting and spending, they argue, has caused serious trouble both in the classroom and in the budget office.",Embracing the Marketplace,0
571,"ONE of the aftereffects of the financial crisis has been a flood of books promising to explain it. There have been books by economists, journalists, politicians, Wall Street insiders and even a federal judge, Richard Posner, who has produced more than 40 other books, and evidently couldn't resist the temptation to churn out one on this subject. What has been hard to find is a book about the disaster by a writer with literary bona fides. But now comes ''I.O.U.: Why Everyone Owes Everyone and No One Can Pay,'' by John Lanchester (Simon & Schuster, $25).",A Writerly Approach To the Financial Crisis,0
576,"Last August, as midnight approached on a Friday, two Treasury Department staff members sat in a cramped basement office in the Treasury Building next to the White House and watched as their e-mail in-boxes filled up. The aides worked for Kenneth Feinberg, the government's special master for executive compensation, and they were awaiting submissions from companies that had received (and not yet paid back) billions in what federal regulations call ''exceptional assistance'' from the government's Troubled Asset Relief Program, or TARP. The government had the authority to set compensation levels at those seven TARP recipients, and this was the companies' opportunity to plead for salaries and bonuses for each of its top 25 executives. Chrysler Financial and General Motors submitted their proposals -- about 2,000-plus pages each -- a few days before. Now, like college kids crashing a term paper, the other five -- A.I.G., Bank of America, Chrysler, Citigroup and General Motors Acceptance Corporation -- were frantically trying to get their pitches into Treasury's digital in-box by the Aug. 14 deadline.",What's a Bailed-Out Banker Really Worth?,0
579,"A guide to cultural and recreational goings-on around the state this week. Items may be submitted by mail to On the Towns, Sunday New Jersey Section, The New York Times, 620 Eighth Avenue, New York, N.Y. 10018-1405; or by e-mail to njtowns@nytimes.com. Comedy",Events in New Jersey,0
580,"KOHN--Daniel N.,age 88, of Cutchogue, NY, passed away at home on December 19, 2009. He was the president of Truetech, Inc., a Riverhead, NY defense contractor. He is survived by his wife, Barbara, five step-children and 13 grandchildren. A memorial service will be held on Sunday, January 17, 2010 at 2pm at the Coster-Heppner Funeral Home, Cutchogue, NY. Contributions may be made to the Daniel N. Kohn Truetech Scholarship Fund, c/o Truetech, Inc., 680 Elton St., Riverhead, NY 11901.","Paid Notice: Deaths  KOHN, DANIEL N.",0
581,"THE spot atop the final country music singles chart of the 2000s was held by a woman who shoehorned her way into Nashville with personal subject matter, a plucky, can-do attitude and a refusal to fail. Taylor Swift? Nope. Try Reba McEntire.","Nashville Inches, Ever So Grudgingly, Into the Future",0
582,"ONE night in August, Debra Dawson and her boyfriend, Joe Sinagoga, were vacationing on Jonathan Island, a nearly three-acre plot off the coast of Narragansett, R.I. Their motorboat had broken down and they had no way of getting to the mainland for dinner. A crisis? Not at all. For Ms. Dawson, a 48-year-old Manhattanite and self-described ''city chick,'' it turned into one of the most romantic nights of her life. She spent the rest of the day plucking a dozen mussels from the buoys off the dock and digging for clams on the beach. She picked tomatoes and peppers from the garden and brought everything inside to make paella. Most importantly, the couple had the island all to themselves for the week, for a reasonable $3,250, plus $500 for use of the boat.",Island Hopping To Your Own Island,1
583,"There is such a divide between the best and the worst in the National Football Conference that every playoff spot is clinched going into the final weekend and teams are playing only for seeding. In the American Football Conference, seven teams are alive for the two wild-card spots. If you can figure out these possibilities without help, you're better than us and you're probably a mathematician. Here is what it takes for each team and how Sunday might unfold. Take a few aspirin before you dive in. JUDY BATTISTA","What Will It Take to Make A.F.C. Playoffs? In Most Cases, a Win and Much More",0
584,"A guide to cultural and recreational goings-on in and around the Hudson Valley. Items for the guide should be sent at least three weeks in advance to westweek@nytimes.com, or by mail to Westchester Calendar, Metropolitan, The New York Times, 620 Eighth Avenue, New York, N.Y. 10018-1405. Comedy",Events in Westchester,0
586,"ANDROS--Gus Dick, on December 31, 2009. Born March 4, 1926 Oklahoma City. Dancer, Choreographer, teacher for over 60 years. Started dancing after discharge from army in WWII. 1948 joined San Francisco Ballet. Teachings: Theatre Arts Center, Ballet Master Bat Dor Dance Company Of Israel, Harkness Dance Center, High School Of The Performing Arts, New York School Of Ballet, Usdan Center For The Performing Arts, Steps, 92nd Street Y, Ballet Academy East. For 20 years Dick wrote dance history for Dance Pages and Dance And The Arts plus The Dick Andros Newsletter. For website please Goggle Gus Dick Andros to read his extraordinary career plus histories on dance. He leaves behind nieces, nephews, cousins and a multitude of adoring students and friends. Dick, you will always remain in all our hearts and minds. Peace. Memorial and boat service-later in 2010.","Paid Notice: Deaths  ANDROS, GUS DICK",0
587,"How do you pay for a war? The question re-emerged in Congress last month afterPresident Obama announced he would send 30,000 more troops to Afghanistan, and it is likely to be a major issue as lawmakers return to work in January. Reaching back into the nation's history books, some lawmakers are suggesting a war bond program similar to those used during the Civil War and both World Wars. Such a program might reduce the country's reliance on foreign borrowing and avoid a tax increase.",Buying a Share of Victory. Or Not.,0
589,"<!-- BETTY  ISAACSON -->ISAACSON--Betty, (95). December 30, New Jersey. Predeceased by her husband Oscar, her son Louis and his wife Evelyn. Her love will be remembered by her daughter Anita (Carl) Jacobs; grandchildren Elie and Avi Jacobs and Debra Isaacson.<br><br>
 ","Paid Notice: Deaths  ISAACSON, BETTY ",0
590,"<!-- ELLIOT  KRIEGSMAN -->KRIEGSMAN--Elliot, 61, of New York, on December 19, 2009, as the result of a cerebral aneurysm. Journalist and Haiti scholar. Son of the late Iris and Leo Kriegsman; father of Emery and Cody; brother of Michael and Judith, Barbara and Clyde; uncle of Mark, Gina, Ali and Ben; great-uncle of Max and Hannah. A truly hilarious, gifted and generous man--our El, our Dat-one, our Alien. Memorial services to be held at 11156 Cashmere St., Los Angeles, on January 3 and 4, 2010, and in New Jersey the following week.<br><br>
 ","Paid Notice: Deaths  KRIEGSMAN, ELLIOT ",0
